Breed Name,Potential Image Source URL
American English Coonhound,https://www.istockphoto.com/photos/coonhound
American English Coonhound,https://www.shutterstock.com/search/american-english-coonhound
American English Coonhound,https://stock.adobe.com/search?k=coonhound
American English Coonhound,https://pixabay.com/images/search/coonhound/
American Foxhound,https://www.istockphoto.com/photos/american-foxhound
 American Foxhound,https://thenounproject.com/icon/american-foxhound-334900/
American Hairless Terrier,https://www.istockphoto.com/photos/american-hairless-terrier
American Leopard Hound,https://www.shutterstock.com/search/american-leopard-hound-dogs
American Leopard Hound,https://stock.adobe.com/search?k=american+leopard+hound+dog
Azawakh,https://www.istockphoto.com/photos/azawakh-dog
Australian Terrier,https://pixabay.com/images/search/australian%20terrier/
Australian Terrier,https://www.istockphoto.com/photos/australian-terrier
Basset Fauve de Bretagne,https://www.shutterstock.com/search/basset-fauve-de-bretagne
Bavarian Mountain Scent Hound,https://www.shutterstock.com/search/bavarian-mountain-scent-hound
Belgian Laekenois,https://www.shutterstock.com/search/belgian-laekenois
Berger Picard,https://www.shutterstock.com/search/berger-picard
Black and Tan Coonhound,https://www.istockphoto.com/photos/black-and-tan-coonhound
Black Russian Terrier,https://www.shutterstock.com/search/black-russian-terrier
Bloodhound,https://www.istockphoto.com/photos/bloodhound
Bloodhound,https://www.shutterstock.com/search/blood-hound
Bolognese,https://www.shutterstock.com/search/bolognese-dog
Bolognese,https://www.istockphoto.com/photos/bolognese-dog
Border Collie,https://www.istockphoto.com/photos/border-collie-dog
Border Collie,https://pixabay.com/images/search/border%20collie/
Border Terrier,https://www.shutterstock.com/search/border-terrier
Border Terrier,https://www.istockphoto.com/photos/border-terrier
Boston Terrier,https://www.dreamstime.com/photos-images/boston-terrier.html
Boston Terrier,https://www.shutterstock.com/search/boston-terrier
Boston Terrier,https://www.istockphoto.com/photos/boston-terrier
Braque du Bourbonnais,https://www.shutterstock.com/search/braque-du-bourbonnais
Braque Francais Pyrenean,https://www.shutterstock.com/search/braque-francais
Brittany,https://www.shutterstock.com/search/brittany-dog
Brittany,https://stock.adobe.com/search?k=brittany+dog
Brittany,https://www.istockphoto.com/photos/brittany-spaniel
Broholmer,https://www.istockphoto.com/photos/broholmer
Broholmer,https://www.shutterstock.com/search/broholmer
Brussels Griffon,https://www.istockphoto.com/photos/brussels-griffon
Cardigan Welsh Corgi,https://www.shutterstock.com/search/cardigan-welsh-corgi
Carolina Dog,https://www.shutterstock.com/search/carolina-dog
Catahoula Leopard Dog,https://www.istockphoto.com/photos/catahoula-leopard-dog
Catahoula Leopard Dog,https://www.shutterstock.com/search/catahoula-leopard-dog
Caucasian Shepherd Dog,https://www.dreamstime.com/photos-images/caucasian-shepherd-dog.html
Caucasian Shepherd Dog,https://www.shutterstock.com/search/caucasian-shepherd-dog
Caucasian Shepherd Dog,https://www.istockphoto.com/photos/caucasian-shepherd-dog
Cesky Terrier,https://www.shutterstock.com/search/cesky-terrier
Chesapeake Bay Retriever,https://www.shutterstock.com/search/chesapeake-bay-retriever
Chinese Crested,https://www.shutterstock.com/search/chinese-crested-dog
Chinook,https://www.shutterstock.com/search/chinook-dog
Cirneco dell'Etna,https://stock.adobe.com/search?k=%22cirneco+dell'etna%22
Clumber Spaniel,https://www.shutterstock.com/search/clumber-spaniel-dog
Cocker Spaniel,https://pixabay.com/images/search/cocker%20spaniel/
Cocker Spaniel,https://www.shutterstock.com/search/cocker-spaniel
Cocker Spaniel,https://stock.adobe.com/search?k=cocker+spaniel+puppies
Collie,https://www.shutterstock.com/search/collie-dog
Coton de Tulear,https://www.shutterstock.com/search/coton-de-tulear
Croatian Sheepdog,https://www.istockphoto.com/photos/croatian-sheepdog
Croatian Sheepdog,https://www.shutterstock.com/search/croatian-shepherd-dog
Croatian Sheepdog,https://www.thesprucepets.com/croatian-sheepdog-breed-profile-4775762
 Croatian Sheepdog,https://dogtime.com/dog-breeds/croatian-sheepdog
Curly-Coated Retriever,https://pixabay.com/images/search/curly%20coated%20retriever/
Curly-Coated Retriever,https://stock.adobe.com/search?k=curly+coated+retriever
Czechoslovakian Vlcak,https://www.shutterstock.com/search/czechoslovakian-vlcak
Czechoslovakian Vlcak,https://stock.adobe.com/search?k=%22czech+wolfdog%22
Danish-Swedish Farmdog,https://www.akc.org/dog-breeds/danish-swedish-farmdog/
Danish-Swedish Farmdog,https://dogtime.com/dog-breeds/danish-swedish-farmdog
Danish-Swedish Farmdog,https://www.wisdompanel.com/en-us/dog-breeds/danish-swedish-farmdog
Deutscher Wachtelhund,https://www.shutterstock.com/search/deutscher-wachtelhund
Deutscher Wachtelhund,https://www.shutterstock.com/search/wachtelhund
Deutscher Wachtelhund,https://stock.adobe.com/search/images?k=wachtelhund
Dogo Argentino,https://www.shutterstock.com/search/dogo-argentino
Dogo Argentino,https://www.istockphoto.com/photos/dogo-argentino
Dogo Argentino,https://www.shutterstock.com/search/dogo-argentino
Dogo Argentino,https://www.istockphoto.com/photos/dogo-argentino
Dogo Argentino,https://www.shutterstock.com/search/dogo-argentino
Dogo Argentino,https://www.istockphoto.com/photos/dogo-argentino
Dogo Argentino,https://www.shutterstock.com/search/dogo-argentino
Dogo Argentino,https://www.istockphoto.com/photos/dogo-argentino
Dogo Argentino,https://stock.adobe.com/search/images?k=%22dogo+argentino%22
Dogue de Bordeaux,https://www.shutterstock.com/search/dogue-de-bordeaux
Dogue de Bordeaux,https://www.istockphoto.com/photos/dogue-de-bordeaux
Dogue de Bordeaux,https://pixabay.com/images/search/dogue%20de%20bordeaux/
Dogue de Bordeaux,https://stock.adobe.com/search?k=%22dogue+de+bordeaux%22
Drentsche Patrijshond,
Dutch Shepherd,https://www.shutterstock.com/search/dutch-shepherd
Dutch Shepherd,https://www.shutterstock.com/search/dutch-shepherd-dog
Dutch Shepherd,https://www.shutterstock.com/search/dutch-shepherd
Dutch Shepherd,https://www.shutterstock.com/search/dutch-shepherd-dog
Dutch Shepherd,https://www.dreamstime.com/photos-images/dutch-shepherd-dog.html
English Cocker Spaniel,https://www.shutterstock.com/search/cocker-spaniel
English Cocker Spaniel,https://www.shutterstock.com/search/cocker-spaniel
English Cocker Spaniel,https://www.dreamstime.com/photos-images/cocker-spaniel.html
English Foxhound,https://www.shutterstock.com/search/english-foxhound
English Foxhound,https://www.shutterstock.com/search/english-foxhound
English Foxhound,https://www.istockphoto.com/photos/foxhound
English Setter,https://www.istockphoto.com/photos/english-setter
English Setter,https://depositphotos.com/photos/english-setter.html
English Setter,https://www.dreamstime.com/photos-images/english-setter.html
English Setter,https://pixabay.com/images/search/english%20setter/
English Springer Spaniel,https://pixabay.com/images/search/springer%20spaniel/
English Toy Spaniel,
Entlebucher Mountain Dog,https://www.shutterstock.com/search/entlebucher-mountain-dog
Estrela Mountain Dog,https://www.shutterstock.com/search/estrela-mountain-dog
Estrela Mountain Dog,https://www.istockphoto.com/photos/estrela-mountain-dog
Estrela Mountain Dog,https://www.dreamstime.com/photos-images/estrela-mountain-dog.html
Estrela Mountain Dog,https://www.shutterstock.com/search/estrela-mountain-dog
Estrela Mountain Dog,https://www.istockphoto.com/photos/estrela-mountain-dog
Estrela Mountain Dog,https://www.dreamstime.com/photos-images/estrela-mountain-dog.html
Estrela Mountain Dog,https://stock.adobe.com/search?k=%22estrela+mountain+dog%22
Eurasier,https://www.istockphoto.com/photos/eurasier
Eurasier,https://www.istockphoto.com/photos/eurasier
Eurasier,https://www.shutterstock.com/search/eurasier-dog
Field Spaniel,https://pixabay.com/images/search/field%20spaniel/
Finnish Lapphund,https://pixabay.com/images/search/lapphund/
Finnish Spitz,https://stock.adobe.com/search?k=%22finnish+spitz%22
Flat-Coated Retriever,https://stock.adobe.com/search?k=%22flat+coated+retriever%22
French Spaniel,https://stock.adobe.com/search?k=%22french+spaniel%22
German Longhaired Pointer, 
German Pinscher,https://www.istockphoto.com/photos/german-pinscher
German Shorthaired Pointer,https://pixabay.com/images/search/german%20shorthaired%20pointer/
German Spitz,https://www.shutterstock.com/search/german-spitz
German Wirehaired Pointer,https://www.shutterstock.com/search/german-wire-haired-pointer-puppy
Giant Schnauzer,https://www.istockphoto.com/photos/schnauzer
Glen of Imaal Terrier,
Golden Retriever,https://www.freeimages.com/search/golden-retriever
Golden Retriever,https://www.dreamstime.com/photos-images/golden-retriever.html
Great Dane,https://www.shutterstock.com/search/great-dane-puppy
Great Dane,https://www.dreamstime.com/photos-images/great-dane.html
Great Dane,https://www.shutterstock.com/search/great-dane-puppy
Great Dane,https://www.dreamstime.com/photos-images/great-dane.html
Great Dane,https://create.vista.com/photos/great-dane-dog/
Great Pyrenees,https://stock.adobe.com/search?k=%22great+pyrenees%22
Great Pyrenees,https://stock.adobe.com/search?k=%22great+pyrenees%22
Great Pyrenees,https://www.dreamstime.com/photos-images/great-pyrenees.html
Greater Swiss Mountain Dog,https://www.istockphoto.com/photos/greater-swiss-mountain-dog
Greyhound,https://pixabay.com/images/search/greyhound/
Havanese,https://www.istockphoto.com/photos/havanese
Havanese,https://pixabay.com/images/search/havanese/
Havanese,https://www.istockphoto.com/photos/havanese
Havanese,https://pixabay.com/images/search/havanese/
Havanese,https://www.shutterstock.com/search/havanese
Irish Red and White Setter,https://www.gettyimages.com/photos/irish-red-and-white-setter
Irish Setter,https://www.istockphoto.com/photos/irish-setter
Irish Terrier,https://pixabay.com/images/search/irish%20terrier/
Irish Wolfhound,https://pixabay.com/images/search/irish%20wolfhound/
Italian Greyhound,https://pixabay.com/images/search/italian%20greyhound/
Japanese Spitz,https://pixabay.com/images/search/japanese%20spitz/
Japanese Spitz,https://www.dreamstime.com/photos-images/japanese-spitz-dog.html
Japanese Spitz,https://pixabay.com/images/search/japanese%20spitz/
Japanese Spitz,https://www.dreamstime.com/photos-images/japanese-spitz-dog.html
Japanese Spitz,https://stock.adobe.com/search?k=%22japanese+spitz%22
Karelian Bear Dog,https://stock.adobe.com/search?k=%22karelian+bear+dog%22
Karelian Bear Dog,https://www.istockphoto.com/photos/karelian-bear-dog
Karelian Bear Dog,https://stock.adobe.com/search?k=%22karelian+bear+dog%22
Karelian Bear Dog,https://www.istockphoto.com/photos/karelian-bear-dog
Karelian Bear Dog,https://www.shutterstock.com/search/karelian-bear-dog
Keeshond,https://www.shutterstock.com/search/dog-keeshond
Keeshond,https://www.shutterstock.com/search/dog-keeshond
Keeshond,https://www.istockphoto.com/photos/keeshond
Komondor,
Kuvasz,
Lagotto Romagnolo,https://www.istockphoto.com/photos/lagotto-romagnolo
Leonberger,https://www.gettyimages.com/photos/leonberger
Löwchen,
Lhasa Apso,https://www.shutterstock.com/search/lhasa-apso
Lhasa Apso,https://www.shutterstock.com/search/lhasa-apso
Lhasa Apso,https://www.istockphoto.com/photos/lhasa-apso
Mastiff,https://create.vista.com/photos/mastiff-dog/
Miniature Bull Terrier,
Miniature Pinscher,https://depositphotos.com/photos/miniature-pinscher.html
Miniature Schnauzer,https://www.istockphoto.com/photos/schnauzer
Miniature Schnauzer,https://www.shutterstock.com/search/miniature-schnauzer
Mountain Cur,https://stock.adobe.com/search?k=%22cur+dog%22
Dandie Dinmont Terrier,https://www.shutterstock.com/search/dandie-dinmont-terrier
Dandie Dinmont Terrier,https://www.akc.org/dog-breeds/dandie-dinmont-terrier/pictures/
Drentsche Patrijshond,https://www.shutterstock.com/search/drentsche+patrijshond
Drentsche Patrijshond,https://www.hepper.com/drentsche-patrijshond/
Drever,https://www.shutterstock.com/search/drever-dog
Drever,https://www.akc.org/dog-breeds/drever/
English Toy Spaniel,https://www.shutterstock.com/search/english-toy-spaniel
English Toy Spaniel,https://www.akc.org/dog-breeds/english-toy-spaniel/pictures/
German Longhaired Pointer,https://pixabay.com/images/search/german%20longhaired%20pointer/
German Longhaired Pointer,https://www.shutterstock.com/search/german-longhaired-pointer
German Pinscher,https://www.istockphoto.com/photos/german-pinscher
German Pinscher,https://pixabay.com/images/search/german%20pinscher/
German Wirehaired Pointer,https://www.istockphoto.com/photos/german-wirehaired-pointer
German Wirehaired Pointer,https://www.shutterstock.com/search/german-wirehaired-pointer
Gordon Setter,https://www.shutterstock.com/search/gordon-setter
Gordon Setter,https://pixabay.com/images/search/gordon%20setter/
Gordon Setter,https://create.vista.com/photos/gordon-setter/
Grand Basset Griffon Vendéen,https://www.akc.org/dog-breeds/grand-basset-griffon-vendeen/pictures/
Grand Basset Griffon Vendéen,https://www.dreamstime.com/photos-images/basset-griffon-vendeen.html
 Hamiltonstovare,https://www.akc.org/dog-breeds/hamiltonstovare/
Hanoverian Scenthound,https://pixabay.com/images/search/hanoverian%20scenthound/
Harrier,https://www.dreamstime.com/photos-images/harrier-dog.html
Hokkaido,https://www.shutterstock.com/search/hokkaido-dog
Hovawart,https://pixabay.com/images/search/hovawart/
